date,BasalEnergyBurned,DistanceWalkingRunning,StepCount
2020-08-30 11,66.943,0.07076915,175.0
2020-08-30 12,66.943,0.078438096,202.75
2020-08-30 14,66.943,0.020880694,55.666668
2020-08-30 15,66.943,0.07615574,210.66667
2020-08-30 17,66.943,0.0267325,66.5
2020-08-30 19,66.943,0.0877819,205.0
2020-08-30 21,66.943,0.026653767,65.0
2020-08-30 22,66.943,0.018039444,47.25
2020-08-30 23,66.943,0.010815815,30.5
2020-08-31 00,66.943,0.033853535,76.666664
2020-08-31 01,66.943,0.00520098,12.0
2020-08-31 08,66.943,0.03763683,92.333336
2020-08-31 14,66.943,0.08742155,204.0
2020-08-31 19,66.943,0.0064646597,14.5
2020-08-31 20,66.943,0.07853905,196.75
2020-08-31 21,66.943,0.03502712,87.0
2020-08-31 22,66.943,0.00926628,21.0
2020-08-31 23,66.943,0.0549724,134.0
2020-09-01 00,17.611,0.0140967,38.0
2020-09-01 07,14.47025,0.01285984,27.0
2020-09-01 08,17.9375,0.044602685,107.0
2020-09-01 09,18.2755,0.0174363,47.0
2020-09-01 12,16.0715,0.0299112,72.0
2020-09-01 16,17.97525,0.04177188,90.0
2020-09-01 19,17.96925,0.066513,149.0
2020-09-01 20,18.383,0.00399788,9.0
2020-09-01 21,17.71825,0.013545919,33.5
2020-09-01 23,18.02325,0.058161866,153.0
2020-09-02 00,17.71275,0.0231411,51.0
2020-09-02 01,18.668,0.0125666205,28.0
2020-09-02 08,17.6592,0.0153431,37.0
2020-09-02 11,21.402,0.005139995,11.0
2020-09-02 12,22.15575,0.020793194,45.0
2020-09-02 13,22.83725,0.0108605,23.5
2020-09-02 14,23.407501,0.017065637,33.5
2020-09-02 15,3.5283334,0.014040803,132.25
2020-09-02 16,22.83775,0.01519065,32.666668
2020-09-02 17,22.751749,0.023468755,48.75
2020-09-02 18,22.75175,0.0686329,159.25
2020-09-02 19,6.715714,0.038449895,139.66667
2020-09-02 20,22.40175,0.03821354,76.0
2020-09-02 21,19.034,0.051081203,108.0
