startDate,value,type
2020-09-14 04:10:07 -0400,68,HeartRate
2020-09-14 04:08:48 -0400,17.86,BasalEnergyBurned
2020-09-14 04:05:26 -0400,68,HeartRate
2020-09-14 04:00:06 -0400,68,HeartRate
2020-09-14 04:00:00 -0400,HKCategoryValueAppleStandHourIdle,AppleStandHour
2020-09-14 03:55:50 -0400,15.606,BasalEnergyBurned
2020-09-14 03:55:31 -0400,68,HeartRate
2020-09-14 03:50:11 -0400,67,HeartRate
2020-09-14 03:45:56 -0400,68,HeartRate
2020-09-14 03:42:51 -0400,68,HeartRate
2020-09-14 03:41:19 -0400,0.186,ActiveEnergyBurned
2020-09-14 03:40:49 -0400,18.07,BasalEnergyBurned
2020-09-14 03:35:52 -0400,72,HeartRate
2020-09-14 03:31:01 -0400,70,HeartRate
2020-09-14 03:25:47 -0400,18.068,BasalEnergyBurned
2020-09-14 03:25:39 -0400,74,HeartRate
2020-09-14 03:20:01 -0400,70,HeartRate
2020-09-14 03:15:01 -0400,71,HeartRate
2020-09-14 03:14:11 -0400,13.965,BasalEnergyBurned
2020-09-14 03:11:26 -0400,73,HeartRate
2020-09-14 03:07:11 -0400,0.119,ActiveEnergyBurned
2020-09-14 03:06:11 -0400,75,HeartRate
2020-09-14 03:04:55 -0400,0.00417258,DistanceWalkingRunning
2020-09-14 03:04:55 -0400,10,StepCount
2020-09-14 03:04:39 -0400,71.1111,HeartRate
2020-09-14 03:04:39 -0400,59.9239,HeartRateVariabilitySDNN
2020-09-14 03:04:07 -0400,12.114,BasalEnergyBurned
2020-09-14 03:01:46 -0400,79,HeartRate
2020-09-14 03:00:00 -0400,HKCategoryValueAppleStandHourIdle,AppleStandHour
2020-09-14 02:56:09 -0400,78,HeartRate
2020-09-14 02:54:13 -0400,0.135,ActiveEnergyBurned
2020-09-14 02:53:56 -0400,78,HeartRate
2020-09-14 02:49:36 -0400,17.456,BasalEnergyBurned
2020-09-14 02:47:36 -0400,77,HeartRate
2020-09-14 02:42:06 -0400,76,HeartRate
2020-09-14 02:36:31 -0400,74,HeartRate
2020-09-14 02:34:56 -0400,0.204,ActiveEnergyBurned
2020-09-14 02:34:48 -0400,0.00523042,DistanceWalkingRunning
2020-09-14 02:34:48 -0400,10,StepCount
2020-09-14 02:34:35 -0400,17.658,BasalEnergyBurned
2020-09-14 02:30:24 -0400,71,HeartRate
2020-09-14 02:27:46 -0400,0.149,ActiveEnergyBurned
2020-09-14 02:25:23 -0400,71,HeartRate
2020-09-14 02:24:52 -0400,11.569,BasalEnergyBurned
2020-09-14 02:20:09 -0400,71,HeartRate
2020-09-14 02:15:24 -0400,72,HeartRate
2020-09-14 02:10:32 -0400,16.011,BasalEnergyBurned
2020-09-14 02:10:24 -0400,71,HeartRate
2020-09-14 02:07:46 -0400,69,HeartRate
2020-09-14 02:02:19 -0400,69,HeartRate
2020-09-14 02:00:21 -0400,71.7757,HeartRate
2020-09-14 02:00:21 -0400,36.1628,HeartRateVariabilitySDNN
2020-09-14 02:00:00 -0400,HKCategoryValueAppleStandHourIdle,AppleStandHour
2020-09-14 01:57:03 -0400,77,HeartRate
2020-09-14 01:57:03 -0400,61,RestingHeartRate
2020-09-14 01:56:00 -0400,25,StepCount
2020-09-14 01:56:00 -0400,0.0116007,DistanceWalkingRunning
2020-09-14 01:55:30 -0400,1.656,ActiveEnergyBurned
2020-09-14 01:55:30 -0400,18.891,BasalEnergyBurned
2020-09-14 01:00:00 -0400,HKCategoryValueAppleStandHourIdle,AppleStandHour
2020-09-14 00:55:30 -0400,66.943,BasalEnergyBurned
2020-09-14 00:42:53 -0400,0.00794089,DistanceWalkingRunning
2020-09-14 00:42:53 -0400,18,StepCount
2020-09-13 23:55:30 -0400,66.943,BasalEnergyBurned
2020-09-13 23:02:11 -0400,1,FlightsClimbed
2020-09-13 23:01:20 -0400,0.0157286,DistanceWalkingRunning
